id,creation_time,anxiety_level,anxiety_score,energy_fatigue,energy_fatigue_score,mood_state,mood_score,self_confidence,self_confidence_score,attention_level,game_focus_level,game_effort_level,max_effort_feeling,time_loss_level,real_world_awareness,daily_stress_relief,presence_awareness,event_noticing_level,stop_and_watch_around,immersion_level,game_detachment_level,emotional_involvement,presence_in_game_world,immersion_level,self_decision_making,game_difficulty_level,want_to_quit,game_motivation_level,game_difficulty_level,game_progress_feeling,game_score_result,emotional_involvement,game_interest_level,game_win_motivation,game_tension_level,immersion_in_game,graphics_rating,game_satisfaction_level,game_interruption_disappointment,play_again,self_feeling_state,experiment_fatigue_level,user_feedback,previous_game_experience,score_count,total_score,test_result
76658,2025-04-28T10:51:41,7. В целом уверен и свободен от беспокойства.,7,"6. Чувствую себя довольно свежим, в меру бодр.",6,"6. Чувствую себя довольно хорошо, «в порядке».",6,6. Чувствую себя довольно компетентным.,6,6,7,4,3,5,6,6,5,5,4,5,5,3,5,4,6,6,5,4,2,3,3,3,2,3,3,2,4,4,1,4,"Самочувствие было нормальное, но к концу эксперимента появилась сильная двигательная активность.","Я долго сидел на одном месте, поэтому возникло желание двигаться. Это желание связано с длительной неподвижностью.","Игра понравилась тем, что можно было выпустить пар и пострелять в других игроков. Я играл в CS2","В этот раз старался играть не агрессивно, в отличие от игры дома.",25,40,25/40
333752,2025-04-18T05:08:11,"9. Исключительно хладнокровен, на редкость уверен и не волнуюсь.",9,"9. Бьющая через край жизнеспособность, огромная энергия, сильное стремление к деятельности.",9,"10. Сильный подъем, восторженное веселье.",1,9. Чувствую большую уверенность в себе. Уверен в своих свершениях.,9,7,6,6,7,7,2,6,2,1,1,7,7,1,7,7,7,4,1,7,3,4,6,7,7,7,2,1,7,7,6,7,"Не чувствовал недомогания, тошноты и голода. Когда на мониторе появился крест и попросили закрыть глаза, думал, опоздаю ли на пару.",Усталости не чувствовалось. Заканчивать не хотелось.,"Да понравилась. Динамичностью, сюжетом интересным, интересной механикой.",Играл с огромным желанием продолжать. Был сильный интерес к процессу. Хотелось возвращаться снова.,28,40,28/40
325017,2025-04-03T09:53:55,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,4. Довольно усталый. В запасе не очень много энергии.,4,"6. Чувствую себя довольно хорошо, «в порядке».",6,6. Чувствую себя довольно компетентным.,6,7,5,5,2,4,4,7,3,2,1,5,6,1,4,1,2,2,1,5,6,1,6,5,7,7,7,4,7,7,7,7,"Звук слегка мешал ориентироваться в игровых звуках, но в целом самочувствие было хорошим.",Утомления не было.,"3,5 игры, 3 победы. Понравилась.",Играл в компьютерном клубе с друзьями.,17,40,17/40
365415,2025-04-27T07:21:40,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,8,5. Слегка устал. Леность. Энергии не хватает.,5,"6. Чувствую себя довольно хорошо, «в порядке».",6,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши.",7,6,6,5,4,2,6,4,7,7,2,5,4,5,2,1,7,2,1,5,5,6,6,6,7,7,1,2,6,7,3,7,Самочувствие было нормальное. Всё было в порядке.,Эксперимент был утомительным из-за проблем со звуком. Пришлось сделать несколько итераций.,"Да, игра понравилась из-за сеттинга","Не играл, ожидал меньше катсцен, но они сделаны качественно и понравились.",26,40,26/40
902176,2025-04-07T04:36:23,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,"6. Чувствую себя довольно свежим, в меру бодр.",6,7. Чувствую себя очень хорошо. Жизнерадостен.,7,6. Чувствую себя довольно компетентным.,6,7,7,5,6,2,5,7,5,1,1,6,5,3,7,7,7,5,1,7,4,5,5,7,4,7,5,1,7,7,6,7,"Я чувствовал сонливость из-за недосыпа и уснул после игры. Во время игры я перестал обращать внимание на звуки. Расслабившись, начал погружаться в сон.","Хотелось, чтобы он продолжался. Утомление было связано с тем, что накануне мало спал.","Игра очень понравилась, она предоставляет мне сложное испытание и после его прохадения я чувствую себя удовлетворенно т.к смог справиться с ним ","Играл дважды, первый раз с трудом, второй легче. Получил чувство преодоления благодаря опыту.",20,40,20/40
885292,2025-04-24T05:30:51,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,"10. Порыв, не знающий преград. Жизненная сила выплескивается через край.",1,"10. Сильный подъем, восторженное веселье.",1,"10. Для меня нет ничего невозможного. Смогу сделать все, что хочу.",1,6,7,7,7,6,5,6,6,5,7,7,5,4,5,3,7,2,1,6,6,4,6,6,7,6,4,5,7,7,6,7,Во время игры самочувствие было хорошим.,Эксперимент был интересным.,"Игра очень понравилась. Не смотря на то, что она была сделана не так уж и недавно, графика в этой игре потрясающая.","Играл, прошёл её два года назад, понравилась.",4,40,4/40
195499,2025-04-17T10:57:47,7. В целом уверен и свободен от беспокойства.,7,"6. Чувствую себя довольно свежим, в меру бодр.",6,7. Чувствую себя очень хорошо. Жизнерадостен.,7,6. Чувствую себя довольно компетентным.,6,5,6,5,3,5,6,5,4,6,3,3,1,4,1,4,5,4,3,4,3,2,4,4,5,3,2,1,6,5,6,6,"Перегрелся шлем, мало спал.","Утомления почти не было, только спина вспотела.",Финский геймдев воистинну страннен и креативен,"Игра зависит от случая, но имеет стабильную сложность. Среднее количество часов зависит от везения. Везение влияет на получение бонусов и сбор чего-то адекватного.",26,40,26/40
146831,2025-04-23T10:41:17,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,"8. Много энергии, сильная потребность в действии.",8,"8. Возбужден, в хорошем расположении духа.",8,8. Очень уверен в своих способностях.,8,7,7,3,4,3,7,7,7,7,1,7,7,1,4,1,7,7,1,7,1,7,7,7,7,7,3,7,7,7,1,7,Хорошее.,Не утомительно.,"Да, боевкой.","Играл ранее, печальный опыт сильно влияет.",25,40,25/40
845926,2025-05-03T08:03:46,7. В целом уверен и свободен от беспокойства.,7,5. Слегка устал. Леность. Энергии не хватает.,5,7. Чувствую себя очень хорошо. Жизнерадостен.,7,6. Чувствую себя довольно компетентным.,6,7,7,3,4,5,5,6,3,6,2,4,4,1,1,1,7,1,1,5,7,1,7,5,1,1,1,1,7,7,4,7,"Мало спала, чувствую тревогу.",Было желание смотреть на плюс и расслабляться.,"Понравилась, я люблю симс и строить там, это отвлекает и мне нравится реализовывать идеи с пинтереста ","Игра была интересной из-за большого количества дополнительного контента, который делал строительство более реалистичным.",25,40,25/40
913071,2025-04-27T11:05:07,7. В целом уверен и свободен от беспокойства.,7,5. Слегка устал. Леность. Энергии не хватает.,5,"8. Возбужден, в хорошем расположении духа.",8,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши.",7,6,7,4,6,7,3,6,4,3,1,6,6,4,6,6,6,4,1,6,6,6,5,6,6,7,6,4,7,7,5,7,"Чувствовал себя нормально, небольшая усталость после 30 минут сидения. Был полностью погружен в игру.","После 30 минут появилась небольшая усталость, но желания закончить не было.","Да, понравилась, очень затягивает и появляется чувство потока, фокуса на игре.  Понравилась за картинку и звук. Хорошая метроидвания.",Игра понравилась звуковым сопровождением и картинкой. Впечатления были хорошие. Почти не играл.,27,40,27/40
