id,creation_time,current_feeling,anxiety_level,energy_level,mood_state,self_confidence_level
45286,2025-04-04T07:43:12,Физически ощущаю странную тяжесть на голове из-за шапки.,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,"6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».",6. Чувствую себя довольно компетентным.
54051,2025-04-03T03:26:56,"Ощущения странные при надевании измерительных приборов, в остальном всё комфортно.",8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,"9. Бьющая через край жизнеспособность, огромная энергия, сильное стремление к деятельности.",7. Чувствую себя очень хорошо. Жизнерадостен.,8. Очень уверен в своих способностях.
76658,2025-04-28T08:55:52,Я чувствовал спокойствие и ровное эмоциональное состояние.,10. Совершенное спокойствие. Непоколебимо уверен в себе.,"7. Чувствую себя свежим, в запасе значительная энергия.","6. Чувствую себя довольно хорошо, «в порядке».",8. Очень уверен в своих способностях.
93056,2025-04-02T07:27:35,Мне было спокойно и приятно.,7. В целом уверен и свободен от беспокойства.,"7. Чувствую себя свежим, в запасе значительная энергия.","8. Возбужден, в хорошем расположении духа.",6. Чувствую себя довольно компетентным.
105832,2025-03-22T08:59:29,"Ощущения хорошие, волнения нет.",8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,"7. Чувствую себя свежим, в запасе значительная энергия.",7. Чувствую себя очень хорошо. Жизнерадостен.,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
113244,2025-04-14T06:06:13,Всё в порядке.,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,"6. Чувствую себя довольно свежим, в меру бодр.",1. Крайняя депрессия и уныние. Подавлен. Все черно и серо.,1. Давящее чувство слабости и тщетности усилий. У меня ничего не получится.
120125,2025-04-19T06:05:50,Чувствую сильную тоску по дому.,"5. Несколько озабочен, чувствую себя скованно, немного встревожен.","6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».",6. Чувствую себя довольно компетентным.
135304,2025-04-24T09:01:43,"В целом все хорошо, немного устала.",7. В целом уверен и свободен от беспокойства.,5. Слегка устал. Леность. Энергии не хватает.,"6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
146831,2025-04-23T09:01:17,Я чувствую спокойствие.,10. Совершенное спокойствие. Непоколебимо уверен в себе.,"8. Много энергии, сильная потребность в действии.",7. Чувствую себя очень хорошо. Жизнерадостен.,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
155121,2025-04-19T08:47:50,Испытывал лёгкое волнение и интригу.,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,"6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».",6. Чувствую себя довольно компетентным.
195499,2025-04-17T09:17:13,Всё нормально.,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,5. Слегка устал. Леность. Энергии не хватает.,"6. Чувствую себя довольно хорошо, «в порядке».",6. Чувствую себя довольно компетентным.
208114,2025-04-16T06:29:07,Было небольшое волнение.,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,"6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».",6. Чувствую себя довольно компетентным.
241446,2025-04-19T02:57:14,Я чувствовал спокойствие и интерес к происходящему.,7. В целом уверен и свободен от беспокойства.,"8. Много энергии, сильная потребность в действии.","6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
265094,2025-04-05T03:13:46,"Глаза болят, не выспалась.","9. Исключительно хладнокровен, на редкость уверен и не волнуюсь.",5. Слегка устал. Леность. Энергии не хватает.,"5. Чувствую себя чуть-чуть подавленно, «так себе».",6. Чувствую себя довольно компетентным.
300279,2025-04-25T03:05:33,Спокойствие и интерес. Ничего страшного.,"9. Исключительно хладнокровен, на редкость уверен и не волнуюсь.","8. Много энергии, сильная потребность в действии.",7. Чувствую себя очень хорошо. Жизнерадостен.,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
319924,2025-04-24T06:02:17,Ощущалось комфортно и с интригой.,"9. Исключительно хладнокровен, на редкость уверен и не волнуюсь.","6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
325017,2025-04-03T08:07:33,Слегка волнительно.,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,5. Слегка устал. Леность. Энергии не хватает.,7. Чувствую себя очень хорошо. Жизнерадостен.,8. Очень уверен в своих способностях.
333752,2025-04-18T03:12:06,Испытывал интерес и непривычные ощущения.,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,"7. Чувствую себя свежим, в запасе значительная энергия.","8. Возбужден, в хорошем расположении духа.",8. Очень уверен в своих способностях.
344772,2025-04-21T08:50:14,"Спокоен и тело, и эмоционально. Жду результатов эксперимента.",7. В целом уверен и свободен от беспокойства.,"7. Чувствую себя свежим, в запасе значительная энергия.","9. Возбужден, в приподнятом состоянии. Восторженность.",8. Очень уверен в своих способностях.
355835,2025-04-22T08:58:03,"В целом спокойствие и хорошее настроение, предвкушение от предстоящего.",10. Совершенное спокойствие. Непоколебимо уверен в себе.,"7. Чувствую себя свежим, в запасе значительная энергия.","6. Чувствую себя довольно хорошо, «в порядке».","10. Для меня нет ничего невозможного. Смогу сделать все, что хочу."
365415,2025-04-27T05:09:35,Всё спокойно.,7. В целом уверен и свободен от беспокойства.,"6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
373596,2025-04-28T06:00:32,Я чувствую спокойствие и расслабленность.,7. В целом уверен и свободен от беспокойства.,"7. Чувствую себя свежим, в запасе значительная энергия.","6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
443408,2025-04-25T08:56:26,"Чувствую спокойствие и комфорт, ничего не тревожит.",10. Совершенное спокойствие. Непоколебимо уверен в себе.,"9. Бьющая через край жизнеспособность, огромная энергия, сильное стремление к деятельности.","8. Возбужден, в хорошем расположении духа.","10. Для меня нет ничего невозможного. Смогу сделать все, что хочу."
446415,2025-04-29T06:11:08,Чувствую расслабление и спокойствие.,10. Совершенное спокойствие. Непоколебимо уверен в себе.,"7. Чувствую себя свежим, в запасе значительная энергия.",7. Чувствую себя очень хорошо. Жизнерадостен.,"10. Для меня нет ничего невозможного. Смогу сделать все, что хочу."
447885,2025-04-25T06:12:11,"Ощущения: расслабленность, интерес и комфорт.",8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,"7. Чувствую себя свежим, в запасе значительная энергия.","8. Возбужден, в хорошем расположении духа.",9. Чувствую большую уверенность в себе. Уверен в своих свершениях.
475645,2025-04-20T08:52:36,"В целом всё в порядке, слегка взволнован.","5. Несколько озабочен, чувствую себя скованно, немного встревожен.","6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
483009,2025-04-16T08:55:40,Спокойствие и любопытство.,7. В целом уверен и свободен от беспокойства.,"6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».",8. Очень уверен в своих способностях.
489107,2025-04-29T09:09:22,"Настроение хорошее, выспался, слегка устал.",6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,"6. Чувствую себя довольно свежим, в меру бодр.","8. Возбужден, в хорошем расположении духа.","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
527415,2025-04-15T08:55:14,Я чувствую спокойствие и покой.,10. Совершенное спокойствие. Непоколебимо уверен в себе.,"6. Чувствую себя довольно свежим, в меру бодр.","8. Возбужден, в хорошем расположении духа.","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
557394,2025-04-18T08:51:39,В эксперименте было интересно.,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,"6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».","5. Чувствую, что мои умения и способности несколько ограничены."
587707,2025-04-21T06:27:47,"В целом ощущения нормальные, немного непривычные процедуры, чувствую голод.",8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,"7. Чувствую себя свежим, в запасе значительная энергия.","8. Возбужден, в хорошем расположении духа.","10. Для меня нет ничего невозможного. Смогу сделать все, что хочу."
632847,2025-04-29T03:34:32,Чувствую усталость и подавленность.,7. В целом уверен и свободен от беспокойства.,4. Довольно усталый. В запасе не очень много энергии.,"5. Чувствую себя чуть-чуть подавленно, «так себе».",8. Очень уверен в своих способностях.
648208,2025-04-17T06:38:51,"Сейчас состояние нормальное, эпилепсия в ремиссии.",8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,5. Слегка устал. Леность. Энергии не хватает.,"6. Чувствую себя довольно хорошо, «в порядке».",6. Чувствую себя довольно компетентным.
666522,2025-04-18T06:05:09,"Головная боль была лёгкой, ощущалось спокойствие.",7. В целом уверен и свободен от беспокойства.,5. Слегка устал. Леность. Энергии не хватает.,"6. Чувствую себя довольно хорошо, «в порядке».",6. Чувствую себя довольно компетентным.
679594,2025-04-07T07:04:23,"Было спокойно и комфортно, присутствовало предвкушение, но слегка сковывало движения и ощущалась сонливость.",7. В целом уверен и свободен от беспокойства.,"6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».",9. Чувствую большую уверенность в себе. Уверен в своих свершениях.
710022,2025-04-14T09:08:06,"Всё отлично, на позитиве, негатива нет.",10. Совершенное спокойствие. Непоколебимо уверен в себе.,"10. Порыв, не знающий преград. Жизненная сила выплескивается через край.","10. Сильный подъем, восторженное веселье.","10. Для меня нет ничего невозможного. Смогу сделать все, что хочу."
735684,2025-04-20T05:55:16,Ничего.,10. Совершенное спокойствие. Непоколебимо уверен в себе.,"8. Много энергии, сильная потребность в действии.","8. Возбужден, в хорошем расположении духа.",8. Очень уверен в своих способностях.
761404,2025-04-23T03:48:42,Испытывал положительные и радостные эмоции.,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,"8. Много энергии, сильная потребность в действии.","9. Возбужден, в приподнятом состоянии. Восторженность.",8. Очень уверен в своих способностях.
814770,2025-04-15T06:09:54,Испытываю нервозность и интерес.,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,"6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
820694,2025-04-22T05:56:26,Испытываю спокойствие.,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,"6. Чувствую себя довольно свежим, в меру бодр.","8. Возбужден, в хорошем расположении духа.","10. Для меня нет ничего невозможного. Смогу сделать все, что хочу."
825526,2025-05-03T06:49:57,Чувствую себя отлично.,7. В целом уверен и свободен от беспокойства.,"6. Чувствую себя довольно свежим, в меру бодр.","6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
834979,2025-04-28T03:27:34,"Чувствую себя спокойно и бодро, настроение хорошее.",7. В целом уверен и свободен от беспокойства.,"6. Чувствую себя довольно свежим, в меру бодр.","8. Возбужден, в хорошем расположении духа.",6. Чувствую себя довольно компетентным.
841045,2025-04-23T06:21:07,"Физического дискомфорта нет, настроение хорошее.",7. В целом уверен и свободен от беспокойства.,"7. Чувствую себя свежим, в запасе значительная энергия.","8. Возбужден, в хорошем расположении духа.",9. Чувствую большую уверенность в себе. Уверен в своих свершениях.
845926,2025-05-03T03:02:26,Чувствую спокойствие и сонливость.,7. В целом уверен и свободен от беспокойства.,5. Слегка устал. Леность. Энергии не хватает.,"6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
862274,2025-04-04T03:20:17,"Всё в порядке, немного неловко.",6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,"7. Чувствую себя свежим, в запасе значительная энергия.","6. Чувствую себя довольно хорошо, «в порядке».","7. Чувствую, что моих способностей достаточно и мои перспективы хороши."
863463,2025-04-21T03:16:11,"Ощущения обычные, спокойные.",10. Совершенное спокойствие. Непоколебимо уверен в себе.,"7. Чувствую себя свежим, в запасе значительная энергия.",7. Чувствую себя очень хорошо. Жизнерадостен.,8. Очень уверен в своих способностях.
